Title;Type;Premiere;Genre;Watchtime
The Night Agent;TV Show;2023;Action;812100000
Ginny & Georgia;TV Show;2021;Drama;665100000
The Glory;TV Show;2022;Thriller;622800000
Wednesday;TV Show;2022;Fantasy;507700000
Queen Charlotte: A Bridgerton Story;TV Show;2023;Drama;503000000
You;TV Show;2018;Crime;440600000
La Reina del Sur;TV Show;2011;Drama;429600000
Outer Banks;TV Show;2020;Drama;402500000
Ginny & Georgia;TV Show;2021;Drama;302100000
FUBAR;TV Show;2023;Action;266200000
Manifest;TV Show;2018;Thriller;262600000
Kaleidoscope;TV Show;2023;Crime;252500000
Firefly Lane;TV Show;2021;Drama;251500000
The Mother;Movie;2023;Thriller;249900000
Physical: 100;TV Show;2023;Reality-Show;235000000
Crash Course In Romance;TV Show;2023;Comedy;234800000
Love Is Blind;TV Show;2020;Reality-Show;229700000
Beef;TV Show;2023;Comedy;221100000
The Diplomat;TV Show;2023;Drama;214100000
Luther: The Fallen Sun;Movie;2023;Crime;209700000
Perfil falso;TV Show;2023;Drama;206500000
Vikings: Valhalla;TV Show;2022;History;205500000
Extraction 2;Movie;2023;Action;201800000
XO Kitty;TV Show;2023;Comedy;200700000
Doctor Cha;TV Show;2023;Comedy;194700000
Shadow and Bone;TV Show;2021;Fantasy;192900000
Outer Banks;TV Show;2020;Drama;184000000
Sweet Tooth;TV Show;2021;Superhero;182300000
You People;Movie;2023;Comedy;181800000
Perfect Match;TV Show;2023;Reality-Show;176800000
Sex/Life;TV Show;2021;Drama;175500000
The Marked Heart;TV Show;2022;Thriller;174300000
Murder Mystery 2;Movie;2023;Comedy;173600000
The Surrogacy;TV Show;2023;Drama;172400000
Pablo Escobar: El Patr?n del Mal;TV Show;2012;Crime;170100000
Never Have I Ever;TV Show;2020;Comedy;168300000
Your Place or Mine;Movie;2023;Comedy;163000000
Chiquititas;TV Show;2013;Comedy;162000000
Emily in Paris;TV Show;2020;Drama;161100000
Alice in Borderland;TV Show;2020;Thriller;157600000
Alchemy of Souls;TV Show;2022;Fantasy;155300000
Outer Banks;TV Show;2020;Drama;153900000
New Amsterdam;TV Show;2018;Drama;153000000
Til Money Do Us Part;TV Show;2022;Drama;152100000
Mr. Queen;TV Show;2020;Comedy;151500000
Manifest;TV Show;2018;Thriller;151400000
Alchemy of Souls;TV Show;2022;Fantasy;150200000
Paw Patrol;TV Show;2013;Animation;149300000
The Good Bad Mother;TV Show;2023;Comedy;148600000
The Recruit;TV Show;2022;Action;146900000
Bloodhounds;TV Show;2023;Thriller;146700000
Glass Onion: A Knives Out Mystery;Movie;2022;Crime;142900000
Wrong Side of the Tracks;TV Show;2022;Drama;140100000
Black Mirror;TV Show;2011;Science Fiction;139900000
Triada;TV Show;2023;Drama;139300000
The Walking Dead;TV Show;2010;Horror;136800000
Bridgerton;TV Show;2020;History;136600000
Cocomelon;TV Show;2020;Animation;136200000
Extraordinary Attorney Woo;TV Show;2022;Drama;135900000
The Snow Girl;TV Show;2023;Crime;134800000
Stranger Things;TV Show;2016;Thriller;133600000
The Marked Heart;TV Show;2022;Thriller;133500000
Bridgerton;TV Show;2020;History;133400000
Little Angel;TV Show;2022;Animation;132100000
Paw Patrol;TV Show;2013;Animation;130700000
Pasi?n de gavilanes;TV Show;2003;Drama;129200000
Suits;TV Show;2011;Drama;129100000
Sex/Life;TV Show;2021;Drama;126400000
We Have a Ghost;Movie;2023;Adventure;124400000
You;TV Show;2018;Crime;123500000
Business Proposal;TV Show;2022;Drama;120700000
The Pale Blue Eye;Movie;2023;Crime;120500000
Crash Landing on You;TV Show;2019;Comedy;120300000
AKA;Movie;2023;Action;120000000
MH370: The Plane That Disappeared;TV Show;2023;Documentary;118900000
Queenmaker;TV Show;2023;Drama;118600000
Vikings: Valhalla;TV Show;2022;History;116500000
Breaking Bad;TV Show;2008;Crime;116200000
El silencio;TV Show;2023;Crime;115800000
Lockwood & Co.;TV Show;2023;Fantasy;113600000
You;TV Show;2018;Crime;107200000
Breaking Bad;TV Show;2008;Crime;107000000
Suits;TV Show;2011;Drama;106600000
Murdaugh Murders: A Southern Scandal;TV Show;2023;Documentary;104600000
Welcome to Eden;TV Show;2022;Science Fiction;104500000
Breaking Bad;TV Show;2008;Crime;104300000
Lucifer;TV Show;2016;Superhero;102800000
Cocomelon;TV Show;2020;Animation;102300000
Caf? con aroma de mujer;TV Show;2021;Drama;101700000
Love to Hate You;TV Show;2023;Comedy;99900000
The Blacklist;TV Show;2013;Crime;99900000
Shadow and Bone;TV Show;2021;Fantasy;99500000
The Unbroken Voice;TV Show;2022;Drama;99000000
Designated Survivor;TV Show;2016;Action;98500000
The Interest of Love;TV Show;2022;Drama;97800000
Wrong Side of the Tracks;TV Show;2022;Drama;97600000
Minions: The Rise of Gru;Movie;2022;Animation;96400000
Demon Slayer: Kimetsu no Yaiba;TV Show;2019;Animation;95800000
The Blacklist;TV Show;2013;Crime;95700000
