pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
6.6,nan,Yes,No,Yes,No,254,high
6.6,36,No,Yes,No,Yes,253,high
8.5,70,Yes,Yes,Yes,Yes,246,low
9.5,34,Yes,Yes,No,Yes,nan,low
6.6,37,No,No,No,No,255,medium
6.6,37,Yes,Yes,Yes,Yes,255,high
5.5,45,Yes,No,Yes,Yes,250,low
4.5,nan,No,Yes,Yes,Yes,250,low
8.1,66,Yes,No,Yes,Yes,255,low
6.7,45,Yes,Yes,No,No,247,medium
6.7,45,Yes,Yes,Yes,No,245,medium
5.6,50,No,Yes,Yes,Yes,255,low
8.6,55,No,Yes,Yes,Yes,255,low
7.4,90,Yes,No,Yes,Yes,255,low
6.8,45,No,Yes,Yes,Yes,255,high
6.5,38,Yes,No,No,No,255,medium
nan,38,Yes,No,Yes,No,255,low
3,40,Yes,Yes,Yes,Yes,255,low
9,43,Yes,No,Yes,Yes,250,low
6.8,40,Yes,No,Yes,No,245,medium
6.6,45,No,Yes,Yes,Yes,250,high
6.5,36,No,No,Yes,No,255,medium
4.5,38,No,Yes,Yes,Yes,255,low
6.6,45,Yes,Yes,Yes,Yes,245,high
6.8,35,Yes,No,Yes,No,246,medium
6.5,36,No,Yes,Yes,No,253,high
8.5,70,No,No,No,No,246,low
6.6,34,No,No,No,Yes,240,medium
6.5,37,No,No,No,No,245,medium
6.6,37,Yes,No,Yes,No,255,high
6.4,45,No,Yes,No,No,240,medium
6.5,40,No,Yes,No,Yes,250,low
6.8,42,Yes,Yes,Yes,Yes,255,high
6.7,41,Yes,No,No,No,247,medium
6.7,50,Yes,Yes,Yes,No,245,low
6.8,45,No,Yes,Yes,Yes,255,high
8.6,55,No,Yes,No,No,255,low
7.4,65,No,No,No,No,255,low
6.8,41,No,No,No,No,255,medium
6.5,38,Yes,Yes,Yes,Yes,255,high
nan,38,No,No,No,No,255,medium
3,40,Yes,No,No,No,255,low
9,43,Yes,Yes,Yes,Yes,248,low
6.8,40,Yes,Yes,Yes,Yes,255,high
6.6,45,No,No,No,Yes,250,medium
6.5,36,No,No,No,No,247,medium
6.6,38,No,No,No,No,255,medium
6.8,45,Yes,Yes,Yes,No,245,high
9.5,34,Yes,Yes,No,Yes,255,low
6.5,37,No,No,No,No,255,medium
6.6,37,Yes,Yes,Yes,Yes,255,high
5.5,45,Yes,No,Yes,Yes,250,low
4.5,60,No,Yes,Yes,Yes,250,low
8.1,66,Yes,No,Yes,Yes,255,low
6.7,45,Yes,Yes,No,No,247,medium
6.7,45,Yes,Yes,Yes,No,245,medium
5.6,50,No,Yes,Yes,Yes,255,low
8.6,55,No,Yes,Yes,Yes,255,low
7.4,90,Yes,No,Yes,Yes,255,low
6.8,45,No,No,Yes,No,255,medium
6.5,38,Yes,No,Yes,No,255,medium
6.7,38,Yes,No,Yes,No,255,high
3,40,Yes,Yes,Yes,Yes,255,low
9,43,Yes,No,Yes,Yes,250,low
8.6,55,No,Yes,Yes,Yes,255,low
6.8,45,No,No,No,Yes,255,medium
6.8,45,No,Yes,Yes,Yes,255,high
6.5,38,Yes,No,No,No,255,medium
4.7,38,Yes,No,Yes,No,255,low
3,40,Yes,Yes,Yes,Yes,255,low
9,43,Yes,No,Yes,Yes,250,low
6.8,40,Yes,No,Yes,No,245,medium
6.6,45,No,Yes,Yes,Yes,250,high
6.5,36,No,No,Yes,No,255,medium
